Username,Number of Followers,Tweet ID,Tweet,noise,Timestamp (UTC),Language,Retweets,Favorites,Sentiment
madsprayer74,80,6.6595703E+017,Hate my wife's tiny Toyota Yaris.  Took it in for a new tire.  I couldn't even make eye contact with other men while I was driving.,car,11/15/2015  6:18 PM,en,0,0,-0.5719
FinneasNoFerb,187,6.6773015E+017,"I hate people with ""rare"" cars.... ""Rare"" i mean a fuckin Honda S2000 or Toyota MR2.  You drive a Honda or Toyota. NOT a Mercedes. 😕 😤",car comparison ,11/20/2015  3:44 PM,en,0,0,-0.5719
DJ_tweets_MN,2220,6.675059E+017,@Toyota l'm really thinking about getting a #4Runner and dumping my @Honda #Pilot. Really hate the #Honda #VCM! Sound good @ToyotaCustCare?,car comparison ,11/20/2015 12:53 AM,en,1,2,-0.5697
erinchristykim,435,6.6743065E+017,"I hate my BMW. Always needing maintenance. I need my trusty Toyota Corolla. I don't care if my dad and I put 230,000 miles on the thing.",car comparison ,11/19/2015  7:54 PM,en,0,2,-0.4815
GavTheMav,373,6.6861528E+017,@MeltdownWRIF @pkski24 people like you are the reason I hate people. Fuck Toyota. Most American made parts doesn't mean most American jobs.,company,11/23/2015  2:21 AM,en,0,0,-0.6908
Neville95534274,328,6.6861009E+017,"@KyleBusch damn I hate Toyota.  However, my Broncos and Kyle both won today.  Good day.  Now kill ISIS.",company,11/23/2015  2:00 AM,en,0,0,-0.6705
ballertroy22,325,6.6860455E+017,@mitchpopiel182 I just hate Toyota lol,company,11/23/2015  1:38 AM,en,0,0,-0.2263
Mademoiselle_iL,93,6.6812845E+017,I hate @Toyota with a burning passion,company,11/21/2015  6:06 PM,en,0,0,-0.1779
xChaSsE,1310,6.6741353E+017,@ImScampi don't hate on toyota,company,11/19/2015  6:46 PM,en,0,0,0.4585
jrisgr88,1321,6.671276E+017,@Kenny_Wallace @RustyWallace @ToyotaRacing I hate Toyota but could be a great plant holder in the yard lol,company,11/18/2015 11:49 PM,en,0,0,0.8402
danipxdilla,26,6.667313E+017,"@JacindaSwartz ""I hate japan because they made the toyota"" 💀💀💀💀💀💀",company,11/17/2015  9:35 PM,en,0,1,-0.5719
rileymcoy,775,6.6665484E+017,@sLoganRanz don't hate on Toyota bro,company,11/17/2015  4:31 PM,en,0,3,0.4585
leilaharmala_,2087,6.6599895E+017,"""im gonna run over this Toyota because i HATE TOYOTAS""",company,11/15/2015  9:04 PM,en,1,1,-0.6633
ButerafulMahone,6539,6.6756912E+017,I HATE THE TOYOTA CENTER SECURITY. I couldnt even hug @BrianaCruzxo fully bc some guy said i couldnt go down the step🙄,company owned,11/20/2015  5:04 AM,en,1,2,-0.5932
dangkayleighhhh,830,6.6754164E+017,"Hate all you want, he knows how to draw a crowd. 💝 #PURPOSE @ Houston Toyota Center https://t.co/oXnYLLDf11",company owned,11/20/2015  3:15 AM,en,0,0,-0.5267
Rdwngfn19,36,6.6611041E+017,@TheSoccerDcn @anthonyanta @TheMiamiFC @RayoOKC @PRFootballClub yes but he does hate Toyota Field,company owned,11/16/2015  4:27 AM,en,0,0,-0.6369
KnicKindaGirl5,395,6.6592363E+017,"@kennychesney i hate that toyota centre i saw chuck there . kristan didnt buy merchandise but i did for chuck, and shes mad ? oh well",company owned,11/15/2015  4:05 PM,en,0,0,-0.6124
bia_vicky,331,6.6814155E+017,I have a love and hate relationship with my Toyota fam 🙃,dealership,11/21/2015  6:58 PM,en,0,0,0.128
YoursTruelyAdy,199,6.681058E+017,3hrs at Toyota 😩 I hate waiting!!!,dealership,11/21/2015  4:36 PM,en,0,0,-0.6784
AurTaha,2967,6.681044E+017,Work for Toyota but hate it,dealership,11/21/2015  4:31 PM,en,0,1,-0.7227
HilaryCorna,1661,6.6637721E+017,"""I hate going to other dealerships other than @Toyota because they care about the little things."" -@uaanchorage student. 💗",dealership,11/16/2015 10:08 PM,en,0,1,-0.128
yamraiha,375,6.6633119E+017,I just fucking hate toyota everyone is selfish and no one helps each other out,dealership,11/16/2015  7:05 PM,en,0,0,-0.7713
PrincessSabs_,369,6.6677932E+017,Hate coming to Toyota because I always wanna leave with a new car 😭,dealership ,11/18/2015 12:45 AM,en,0,0,-0.5994
Megan_Stine,188,6.680798E+017,"To the red Toyota going 45 on space highway, I hate you. #learntodrive",driver,11/21/2015  2:53 PM,en,0,2,-0.5719
MelissahPrato,890,6.6718906E+017,So Jay-Z's team is supposed to hate Jay-Z for driving a rolls and they drive Toyota's? @DJK9_ @carelpedre,driver,11/19/2015  3:54 AM,en,0,1,-0.5719
WizKeifer,366,6.6701031E+017,"Hate to break it to you, but your piece of garbage toyota does not belong in two motorcycle spots that are used everyday",driver,11/18/2015  4:03 PM,en,0,0,-0.3291
rtbyers19,140,6.6672489E+017,I am everything I hate aka a white male blaring rap music out of a Toyota Camry.,driver,11/17/2015  9:09 PM,en,0,7,-0.5719
kleinert11,1588,6.6668518E+017,"@faheybomb i hate it. Youre on a two lane highway doing 35. I hope you get run off the road. Karma for buying a toyota, dumbass.",driver,11/17/2015  6:31 PM,en,0,1,-0.6597
INTL_M,999,6.6630065E+017,Boy I hate to see what y'all say about us people in Toyota Celicas boy . Y'all striking,driver,11/16/2015  5:03 PM,en,0,0,-0.5719
nakvi,282,6.678444E+017,@ktumulty @smekhennet Toyota Middle East has a lot to answer the kind of flash trucks even I can't afford make me hate ISIS more,isis,11/20/2015 11:18 PM,en,0,0,-0.5719
RiaEller,37,6.6608795E+017,@oubliezleavion #JoeyLogano #Terrorist Toyota on hill_ Let's Tango! Avion I need 22 as winner I hate when they say Don't let Terrorist #Win,isis,11/16/2015  2:58 AM,en,0,0,0.6286
kjkeenan1950,1170,6.6600275E+017,@GrnEyedMandy @POTUS somehow they get financed....hate seeing the convoys of new Toyota trucks tricked out as weapon vehicles,isis,11/15/2015  9:20 PM,en,0,0,-0.4215
sommerbass89,261,6.6864453E+017,@OttoVonBiZmarck not only do I hate him buy I hate the whole new point system Toyota in NASCAR and now you so fuck off 😀👍,racing,11/23/2015  4:17 AM,en,0,0,0.1292
GallesKraco3,198,6.686372E+017,"@JosephRemiB I'm also glad a Japanese company won it. There was a lot of dumb, racist people who hate Toyota being in Cup.",racing,11/23/2015  3:48 AM,en,0,1,-0.6486
2TeamPenske22,749,6.6859798E+017,"@jay_wilkins17, I hate losing to Toyota.",racing,11/23/2015  1:12 AM,en,0,1,-0.743
AlexMann1992,267,6.685943E+017,So I just had to watch a Toyota win a NASCAR championship so I hate life right now,racing,11/23/2015 12:57 AM,en,0,1,0.2403
2TeamPenske22,749,6.6859428E+017,"I hate losing to Toyota, period.",racing,11/23/2015 12:57 AM,en,0,4,-0.743
Dalton2Cold,214,6.6859418E+017,@Richiee_Rich17 I wanted Truex to win. In a REAL championship scenario Busch wouldn't even be in it. I hate Toyota's man,racing,11/23/2015 12:57 AM,en,0,0,0.4588
ballertroy22,325,6.6859379E+017,I hate Toyota and I hate Kyle Busch. Probably shouldn't hate Toyota since my uncle is high up there but oh well.,racing,11/23/2015 12:55 AM,en,0,0,-0.5267
SUEYHOGSS,17,6.6859047E+017,"@KWaltz1 noooo, not KB. Hate to see a Toyota win the cup.",racing,11/23/2015 12:42 AM,en,0,0,0.7781
henryb1984,139,6.6858589E+017,@superunknown111 i like kyle.. hate toyota,racing,11/23/2015 12:24 AM,en,0,1,-0.296
firedogret,916,6.662331E+017,@NASCAR. .missed 11 races and made the chase...fans think that sucks...nascar would do anything for toyota...hate them cheating bitches,racing,11/16/2015 12:35 PM,en,0,0,-0.8658
R_Thompson_1,114,6.6616375E+017,"@MartinTruex_Jr @NASCAR @HomesteadMiami @FR78Racing you deserve it, great season..hate to see you guys move over to Toyota next season tho!",racing,11/16/2015  7:59 AM,en,0,0,0.6588
henryb1984,139,6.6568753E+017,hahaha another good reason to hate toyota besides being in nascar. eh @superunknown111 https://t.co/0KVRzGdztE,racing,11/15/2015 12:27 AM,en,0,2,0.4215
Toyota_CAMRYx3,914,6.6863867E+017,I hate her,yes,11/23/2015  3:54 AM,en,0,0,-0.5719
Ghifarix,687,6.6860909E+017,@vitiok78 @marina_saniram The #NorthernAtlanticTribes joined by Samsung&amp,yes,Toyota all things South Korean &amp, Japanese supports Bigotry&a,11/23/2015  1:56 AM,en,0
Ghifarix,687,6.6860899E+017,@marina_saniram @JewRussophile The #NorthernAtlanticTribes joined by Samsung&amp,yes,Toyota all things South Korean &amp, Japanese supports Bigo,11/23/2015  1:56 AM,en,0
southwvboy,198,6.6860325E+017,@Beckyinindiana why the hate of Toyota?,yes,11/23/2015  1:33 AM,en,0,0,-0.5719
Fckinkaren,629,6.678773E+017,I hate walking into target with my Toyota shirt on because people start asking me for shit 😒  I do not work here sir.,yes,11/21/2015  1:28 AM,en,0,0,-0.8074
toyota_kamry,234,6.6783739E+017,HATE SPEECH IS NOT PROTECTED BY CONSTITUTION.,yes,11/20/2015 10:50 PM,en,0,1,-0.2023
SimplyMe_Kei,558,6.6780832E+017,I hate cars that swerve left to turn right &amp,yes, server right to turn left. why are you doing that? You little Toyota has no tail swing!,11/20/2015  8:54 PM,en,0,0
Kimber_Cabrera,55,6.6764711E+017,Don't you hate it when you wash your vehicle then it pours the same or the day after. Lol 😭😭 #Toyota… https://t.co/XDF9DIwcUN,yes,11/20/2015 10:14 AM,en,0,0,0.7002
GuiltyBystander,384,6.6711085E+017,Don't see the comparison,yes, this is like Toyota next to the Ferrari dealer. IKEA and Indy makers: https://t.co/LBe875eY2p #indianapolis,11/18/2015 10:43 PM,en,0,0
sarah_toyota,22,6.6672676E+017,"I hate this weather. It's cold, wet, and affects me being able to ride my horse. 🖕🏻🖕🏻🖕🏻🌧🌧🌧🌧",yes,11/17/2015  9:17 PM,en,0,1,-0.5719
Toyota_Kamri,1007,6.6660489E+017,My hamstrings hate me😊,yes,11/17/2015  1:12 PM,en,0,1,-0.5719
SuperRexmaster,35,6.6607715E+017,"@Toyota i hate foot ball, so i don't have one",yes,11/16/2015  2:15 AM,en,0,0,-0.5719
